Unnamed: 0,Unnamed: 0.1,title,rate,type,producer,publish_date
410,797.0,半夜叫你别回头,2.6, 惊悚 , 中国大陆,2015
411,798.0,领袖1935,2.6, 剧情, 中国大陆,2017
412,799.0,夜半哭声,2.6, 惊悚 , 中国大陆,2016
413,809.0,这个大叔不太囧,2.5, 喜剧 , 中国大陆,2014
415,811.0,逃离现场,2.5, 惊悚 , 中国大陆,2017
417,813.0,恐怖电影院2,2.4, 惊悚 , 中国大陆,2017
419,815.0,惊魂绣花鞋,2.3, 惊悚 , 中国大陆,2017
420,816.0,爱的帕斯卡,2.3, 剧情, 中国大陆,2017
421,817.0,惊魂七夜,2.3, 惊悚 , 中国大陆,2017
423,819.0,怨灵宿舍之人偶老师,2.2, 惊悚 , 中国大陆,2017
426,832.0,迷魂之密室逃脱,4.0, 悬疑 , 中国大陆,2013
427,833.0,百万爱情宝贝,4.0, 喜剧 , 中国大陆,2013
428,834.0,换爱七日,4.0, 喜剧 , 中国大陆,2014
430,836.0,落经山,4.0, 剧情 , 中国大陆,2013
431,837.0,不良女警,4.0, 喜剧 , 中国大陆,2016
433,839.0,我邻居的老婆,4.0, 剧情 , 韩国,2016
434,850.0,忍者传说之高校争霸,4.0, 动作, 中国大陆,2017
435,851.0,一起入魔,4.0, 惊悚, 英国,2016
436,852.0,恶灵弑室,4.0, 恐怖, 美国,2017
444,870.0,红颜孽,4.0, 剧情 , 印度 India,2013
445,871.0,十月建造的房屋2,4.0, 恐怖, 美国,2017
446,872.0,拆散专家,3.9, 喜剧 , 中国大陆 ,2014
447,873.0,僵尸海狸,3.9, 喜剧 , 美国,2014
448,874.0,床,3.9, 剧情, 韩国,2013
449,875.0,血战墓碑镇2,3.9, 动作 , 美国,2017
450,876.0,正骨,3.9, 剧情 , 中国大陆,2013
458,894.0,风云1927,3.9, 剧情 , 中国大陆,2014
459,895.0,东北灵异录,3.9, 惊悚, 中国大陆,2015
462,898.0,伦德尔,3.9, 动作 , 芬兰,2017
463,899.0,少女灵异日记,3.8, 惊悚 , 中国大陆,2013
464,910.0,张震讲故事之合租屋,3.8, 爱情 , 中国大陆,2016
465,911.0,终极救援,3.8, 动作 , 美国 ,2015
466,912.0,垫底联盟,3.8, 剧情 , 中国大陆,2017
468,914.0,夏日示爱,3.8, 喜剧 , 中国大陆 ,2013
470,916.0,欲望故事,3.8, 爱情, 韩国,2016
472,918.0,肉搏战,3.8, 喜剧, 美国,2015
473,919.0,护士也疯狂,3.8, 喜剧 , 中国大陆,2016
477,933.0,大梦西游2铁扇公主,3.7, 剧情 , 中国大陆,2017
479,935.0,十全九美之真爱无双,3.7, 喜剧, 中国大陆,2017
485,951.0,直男正传,3.7, 喜剧 , 中国大陆,2016
486,952.0,机器人战警,3.7, 动作 , 美国,2014
489,955.0,莫陌,3.6, 剧情, 中国大陆,2013
490,956.0,斐济99℃爱情,3.6, 喜剧 , 中国大陆,2014
491,957.0,异形前哨,3.6, 动作 , 英国 ,2014
493,959.0,灵殇,3.6, 恐怖, 美国,2017
494,970.0,王者归来黄飞鸿,3.6, 喜剧 , 中国大陆,2017
497,973.0,何故惹凡尘,3.6, 剧情 , 中国大陆,2017
499,975.0,天使驾到之一夜精喜,3.6, 剧情 , 中国大陆,2016
500,976.0,诡镇,3.5, 剧情 , 中国大陆,2014
502,978.0,精武青春,3.5, 喜剧 , 香港 ,2014
503,979.0,三只小猪2,3.4, 动画, 中国大陆,2017
505,991.0,冰川鲨鱼,3.5, 动作 , 美国,2016
506,992.0,死亡之舞,3.5, 剧情 , 俄国 Russia,2017
507,993.0,睡美人,3.5, 奇幻 , 美国,2014
509,995.0,午夜微博,3.4, 悬疑 , 中国大陆,2013
512,999.0,海豹突击队大战僵尸,3.4, 动作 , 美国,2015
513,1010.0,十万伙急,3.4, 喜剧 , 台湾,2015
514,1011.0,拼时代,3.4, 剧情 , 中国大陆,2014
515,1012.0,我们的青春不怕疼,3.4, 爱情, 中国大陆,2017
516,1013.0,花样女鬼,3.4, 情色, 韩国,2015
517,1014.0,骇故事之恐怖殡仪馆,3.4, 剧情 , 中国大陆,2016
519,1016.0,男颜之瘾,3.4, 剧情 , 中国大陆,2016
521,1018.0,诱狼,3.3, 剧情 , 中国大陆,2015
522,1019.0,异种,3.3, 悬疑 , 中国大陆,2015
523,1030.0,1303大厦,3.3, 恐怖, 美国,2013
524,1031.0,大宋绯闻录,3.3, 喜剧, 中国大陆,2017
525,1032.0,潜藏海底的生物,3.3, 科幻 , 美国,2016
526,1033.0,泡妞秘籍,3.3, 喜剧 , 中国大陆,2015
527,1034.0,女法医手记之最后真相,3.3, 剧情 , 中国大陆,2017
528,1035.0,粉红女郎之爱人快跑,3.2, 喜剧 , 中国大陆,2013
531,1038.0,黄金福将,3.2, 喜剧, 中国大陆,2015
533,1050.0,失心者,3.2, 惊悚, 中国大陆,2016
534,1051.0,孤岛,3.2, 悬疑 , 中国大陆,2014
535,1052.0,国宝疑云,3.2, 动作 , 中国大陆,2014
536,1053.0,韩子高,3.2, 爱情 , 中国大陆,2016
538,1055.0,黄真伊,3.2, 情色, 韩国,2015
539,1056.0,再见美人鱼,3.2, 爱情 , 中国大陆,2016
542,1059.0,炽热的欲望,3.3, 剧情 , 韩国,2013
544,1071.0,功夫机器侠,3.1, 动作 , 中国大陆,2017
545,1072.0,功夫战斗机,3.1, 剧情 , 中国大陆,2013
546,1073.0,步步追魂,3.1, 悬疑 , 中国大陆,2013
549,1076.0,东方中国梦,3.1, 剧情, 中国大陆,2013
551,1078.0,生化药尸,3.1, 喜剧 , 中国大陆,2017
552,1079.0,性的研究,3.1, 剧情 , 韩国,2015
554,1091.0,史前怪兽,3.0, 动作 , 英国 ,2014
555,1092.0,碟仙诡谭,3.0, 惊悚, 中国大陆,2014
558,1095.0,桃花侠大战菊花怪,3.0, 喜剧 , 中国大陆,2014
560,1097.0,死亡游戏,3.0, 惊悚 , 中国大陆,2016
561,1098.0,奇葩追梦,3.0, 剧情 , 中国大陆,2016
562,1099.0,功夫机器侠之北腿,3.0, 动作 , 中国大陆,2017
566,1113.0,一路夜蒲,3.0, 爱情, 中国大陆,2016
568,1115.0,女女女,3.0, 喜剧, 韩国,2014
569,1116.0,人鱼校花,2.9, 喜剧 , 中国大陆,2016
570,1117.0,小阴谋大爱情,2.9, 剧情 , 中国大陆,2017
571,1118.0,毒鲨,2.9, 剧情 , 美国,2017
574,1131.0,特洛伊奥德赛,2.9, 动作 , 美国,2017
575,1132.0,孤狼,2.9, 动作 , 美国,2016
576,1133.0,青春真好,2.9, 剧情, 中国大陆,2014
577,1134.0,分手达人,2.8, 喜剧 , 中国大陆,2014
578,1135.0,模特魅影,2.8, 剧情 , 中国大陆,2013
579,1136.0,聊斋新编之画皮新娘,2.8, 惊悚 , 中国大陆,2016
580,1137.0,夺命三头鲨,2.8, 动作 , 美国,2015
581,1138.0,恐怖笔记,2.8, 悬疑 , 中国大陆,2016
582,1139.0,撞邪31号,2.8, 惊悚 , 中国大陆,2017
585,1152.0,空气,2.8, 剧情 , 美国,2014
591,1158.0,笔仙诡影,2.7, 悬疑 , 中国大陆,2016
593,1170.0,我们毕业啦,2.7, 喜剧 , 中国大陆,2016
594,1171.0,虐面人之死灵面膜,2.7, 爱情 , 中国大陆,2014
595,1172.0,诡娃娃,2.7, 惊悚 , 中国大陆,2015
597,1174.0,狼兵吼,2.7, 动作 , 中国大陆,2016
598,1175.0,请勿靠近,2.7, 悬疑 , 中国大陆,2017
599,1176.0,深海X异种,2.7, 悬疑 , 中国大陆,2016
602,1179.0,侏罗纪进攻,2.6, 科幻 , 美国,2013
604,1191.0,荒野加油站,2.6, 悬疑 , 中国大陆,2017
608,1195.0,床下有人3,2.5, 惊悚 , 中国大陆,2016
609,1196.0,死亡笔记,2.5, 悬疑 , 中国大陆,2016
610,1197.0,陌路惊笑,2.5, 喜剧 , 中国大陆,2015
611,1198.0,巨鳄战狂蟒,2.5, 动作 , 美国,2015
612,1199.0,家有虎妻,2.5, 喜剧 , 中国大陆,2015
614,1211.0,深宫怨灵,2.4, 悬疑 , 中国大陆 ,2017
615,1212.0,功夫四侠,2.4, 喜剧 , 中国大陆,2016
617,1214.0,诡井,2.4, 惊悚 , 中国大陆,2017
619,1216.0,通灵姐妹,2.3, 惊悚 , 中国大陆,2017
620,1217.0,不死之身,2.3, 剧情 , 中国大陆,2016
622,1219.0,疯狂玩具城,2.3, 动画, 中国大陆,2016
624,1231.0,怨灵宿舍之白纸女生,2.2, 惊悚, 中国大陆,2017
626,1233.0,北回归线,4.0, 喜剧 , 中国大陆,2014
628,1235.0,邪恶,4.0, 动作 , 美国,2013
631,1238.0,黑暗,4.0, 惊悚 , 美国,2016
634,1251.0,总有刁民想害朕,4.0, 喜剧 , 中国大陆,2017
636,1253.0,色欲之死2,4.0, 恐怖, 日本,2013
638,1255.0,青天降妖录,4.0, 战争 , 中国大陆,2017
642,1259.0,最完美的女孩,4.0, 悬疑 , 台湾,2017
643,1270.0,戒色师,4.0, 剧情 , 中国大陆,2017
645,1272.0,辛巴达历险记2,4.0, 喜剧 , 中国大陆,2014
647,1274.0,花心大坏蛋,4.0, 剧情 , 韩国,2015
648,1275.0,暴虫!,4.0, 喜剧 , 美国,2015
649,1276.0,狼群,4.0, 惊悚 , 澳大利亚,2015
650,1277.0,盲眼杀机,4.0, 悬疑 , 美国,2017
652,1279.0,镭射小队2,4.0, 科幻, 美国,2017
658,1295.0,我想结婚的时候你在哪,3.9, 喜剧 , 中国大陆,2014
659,1296.0,对不起，我爱你,3.9, 爱情, 中国大陆 ,2014
663,1311.0,漂洋过海来爱你,3.9, 剧情, 中国大陆,2017
664,1312.0,我要复仇,3.9, 剧情 , 日本,2016
665,1313.0,杀出僵尸镇,3.9, 恐怖, 美国,2013
666,1314.0,奥拉星：进击圣殿,3.9, 动画 , 中国大陆,2015
668,1316.0,高空,3.9, 动作 , 美国,2017
671,1319.0,五年模拟 三年高考,3.9, 剧情 , 中国大陆,2017
673,1331.0,杀手离沫,3.9, 剧情 , 中国大陆,2017
682,1350.0,刽子手,4.0, 惊悚 , 美国,2017
683,1351.0,人口交易,3.9, 剧情 , 英国,2015
684,1352.0,惊天追逐,3.9, 喜剧 , 加拿大,2014
687,1355.0,怨灵,3.8, 惊悚 , 中国大陆 ,2014
689,1357.0,凄灵室,3.8, 剧情 , 中国大陆,2016
690,1358.0,陆战特攻,3.8, 动作 , 美国,2013
695,1373.0,大明锦衣卫,3.8, 爱情 , 中国大陆,2016
700,1378.0,颤栗汪洋3,3.8, 恐怖, 澳大利亚,2017
705,1393.0,亵渎,3.8, 惊悚, 美国,2015
708,1396.0,摇摇欲坠,3.8, 剧情 , 美国,2013
709,1397.0,大漠孤侠,3.8, 古装, 中国大陆,2017
714,1412.0,狼的召唤,3.8, 剧情 , 美国,2017
719,1417.0,坎卜斯：清算,3.8, 恐怖, 美国,2015
722,1430.0,小小飞虎队,3.7, 喜剧 , 中国大陆,2013
723,1431.0,猪猪侠之勇闯巨人岛,3.7, 喜剧 , 中国大陆,2014
724,1432.0,超萌英雄,3.7, 喜剧 , 中国大陆,2014
725,1433.0,花咒,3.7, 爱情 , 中国大陆,2014
726,1434.0,寄宿公寓,3.7, 剧情, 韩国,2015
729,1437.0,红髅,3.7, 悬疑 , 中国大陆,2015
730,1438.0,鬼庙,3.7, 恐怖, 美国 ,2017
731,1439.0,神兽金刚之青龙再现,3.7, 动画 , 中国大陆,2016
733,1451.0,生生活活,3.7, 剧情 , 韩国,2013
735,1453.0,笑嗷喜剧人,3.7, 剧情 , 中国大陆,2017
736,1454.0,去地狱的派对巴士,3.7, 恐怖, 美国,2017
738,1456.0,闯堂兔2疯狂马戏团,3.7, 喜剧 , 中国大陆,2015
742,1470.0,令伯特烦恼,3.7, 喜剧, 马来西亚,2017
746,1474.0,先锋之那时青春,3.7, 剧情 , 中国大陆,2016
747,1475.0,暮夜传说,3.7, 爱情 , 中国大陆,2016
748,1476.0,近郊奸情,3.7, 惊悚, 加拿大,2017
751,1479.0,哈瓦苏湖的风流之旅,3.7, 喜剧, 美国,2017
755,1493.0,光的棍,3.6, 喜剧 , 中国大陆,2013
759,1497.0,一家老小向前冲,3.6, 剧情 , 中国大陆,2016
760,1498.0,借眼,3.6, 悬疑 , 中国大陆,2017
766,1514.0,极北之战,3.6, 科幻, Canada,2013
768,1516.0,超能暴力对决,3.6, 动作 , 加拿大,2017
771,1519.0,飞天猴子,3.6, 科幻 , 美国,2013
772,1530.0,美国迦顿,3.6, 动作, 美国,2016
778,1536.0,太空熊猫历险记,3.6, 动画 , 中国大陆,2013
779,1537.0,爱上夜蒲团,3.6, 爱情, 中国大陆,2016
781,1539.0,萤火侠,3.6, 喜剧 , 新加坡,2013
785,1553.0,有招没招之爱情达人,3.5, 喜剧 , 中国大陆 ,2013
786,1554.0,道士出山3：外星古墓（上）,3.5, 喜剧 , 中国大陆,2015
788,1556.0,永春白鹤拳之擎天画卷,3.5, 喜剧 , 中国大陆,2014
789,1557.0,诡眼,3.5, 惊悚 , 中国大陆,2017
794,1572.0,地牢围攻3,3.5, 动作 , 美国,2014
795,1573.0,赶尸人之摄魂铃,3.5, 剧情 , 中国大陆,2015
799,1577.0,鬼女艾拉,3.5, 科幻 , 美国,2017
800,1578.0,大内特工队,3.5, 喜剧 , 中国大陆,2017
805,1593.0,迷与狂,3.4, 喜剧, 中国大陆,2015
807,1595.0,禁忌游戏之迷藏,3.4, 惊悚 , 中国大陆,2013
808,1596.0,我们毕业的夏天,3.4, 剧情 , 中国大陆,2014
809,1597.0,青蛙总动员,3.4, 喜剧 , 中国大陆 ,2016
814,1612.0,神通佛影,3.4, 喜剧 , 中国大陆,2014
816,1614.0,逃出食人农场,3.4, 恐怖, 英国,2017
817,1615.0,终极尖兵,3.4, 科幻, 英国,2017
819,1617.0,整形师·脸,3.4, 悬疑 , 中国大陆,2016
820,1618.0,黑瞳,3.4, 悬疑 , 中国大陆,2015
821,1619.0,拳脚刑警：唐人街,3.4, 剧情 , 韩国,2015
825,1633.0,触碰,3.4, 剧情 , 中国大陆,2016
833,1651.0,我的美丽王国,3.3, 喜剧 , 中国大陆,2013
834,1652.0,拳霸风云,3.3, 剧情 , 中国大陆,2015
835,1653.0,机器人病毒危机,3.3, 动作 , 美国,2016
836,1654.0,女孩们的周末,3.3, 惊悚 , 美国,2016
837,1655.0,枕边有张脸2,3.3, 悬疑 , 中国大陆,2016
840,1658.0,鬼鲨,3.3, 恐怖, 美国,2013
841,1659.0,校花驾到2蜜桃时代,3.3, 剧情 , 中国大陆,2015
874,2492.0,特工艾米拉,2.8, 动作 , 中国大陆,2014
875,2515.0,爱很美,3.5, 爱情, 中国大陆,2013
876,2553.0,石器时代之百万大侦探,3.3, 喜剧 , 中国大陆 ,2013
877,2554.0,一路狂奔,3.1, 喜剧, 中国大陆,2013
878,2556.0,英雄之战,3.1, 动作 , 中国大陆,2014
879,2655.0,泰迪熊之玩具大战,2.4, 喜剧 , 中国大陆,2016
